	3
FOUR CORNERS ROAD	3
FOURTH AVENUE	13
FOWLER AVENUE	40
FOX BEACH AVENUE	23
FOX HUNT COURT	1
FOX LANE	33
FOX ST	2
FOX STREET	1796
FOX TERRACE	14
FR CAPODANNO BLVD	138
FR CAPODANNO BOULEVA	3
FR CAPODANNO BOULEVARD	59
FRAME PLACE	20
FRANCESCA LANE	17
FRANCINE LANE	5
FRANCIS LEWIS BLVD	30
FRANCIS LEWIS BOULEVARD	281
FRANK COURT	12
FRANKFORT STREET	2
FRANKLIN AVE	14
FRANKLIN AVENUE	5171
FRANKLIN LANE	7
FRANKLIN PLACE	6
FRANKLIN ST	1
FRANKLIN ST.	3
FRANKLIN STREET	814
FRANKTON STREET	3
FRASER STREET	5
FREAN STREET	10
FRED DOUGLAS BOULEVARD	15
FRED DOUGLASS BLVD	1261
FRED DOUGLASS BOULEVARD	72
FREDERICK DOUGLAS BL	2
FREDERICK DOUGLAS BOULEVARD	112
FREDERICK DOUGLASS	5
FREDERICK DOUGLASS B	3
FREDERICK DOUGLASS BLVD	5
FREDERICK DOUGLASS BOULEVARD	169
FREDERICK STREET	1
FREDRIC DOUGLAS BOULEVARD	3
FREDRICK DOUGLAS BOULEVARD	45
FREDRICK DOUGLAS LANDING	1
FREDRICK DOUGLASS BL	1739
FREDRICK DOUGLASS BLVD	1
FREDRICK DOUGLASS BOULEVARD	143
FREEBORN STREET	76
FREEDOM AVENUE	3
FREEDOM PLACE SOUTH	1
FREEMAN STREET	705
FREEPORT LOOP	3
FREMONT AVE	1
FREMONT AVENUE	20
FREMONT STREET	5
FRESH MDOW LANE	2
FRESH MEADOW LANE	29
FRESH MEADOW LN	1
FRESH PD ROAD	2
FRESH POND RD	1
FRESH POND ROAD	448
FRIEL PLACE	1
FRISBY AVENUE	128
FRONT CLINTON STREET	1
FRONT STREET	542
FROST STREET	167
FT CHARLES PLACE	41
FT ELEY AVENUE	2
FT GEORGE AVENUE	105
FT GEORGE HILL	36
FT GREEN PLACE	9
FT GREENE PLACE	228
FT HAMILTON AVENUE	1
FT HAMILTON PARKWAY	149
FT HILL CIRCLE	27
FT HILL PARK	5
FT INDEPENDENCE ST	199
FT INDEPENDENCE STREET	125
FT WASHINGTON AVENUE	2568
FTELEY AVENUE	1192
FULLER COURT	2
FULLER PLACE	5
FULLER STREET	46
FULTON AVENUE	1300
FULTON ST	33
FULTON STREET	4607
FURMAN AVE	2
FURMAN AVENUE	129
FURMAN STREET	16
FURMANVILLE AVENUE	10
FURNESS PLACE	3
GABRIEL DRIVE	2
GAIN COURT	19
GALE PLACE	14
GALESVILLE COURT	12
GALLATIN PLACE	1
GALLOWAY AVENUE	6
GALVASTON LOOP	1
GALWAY AVENUE	6
GANNON AVENUE NORTH	1
GANSEVOORT	4
GANSEVOORT BOULEVARD	36
GANSEVOORT STREET	65
GARABALDI AVENUE	1
GARAGE 1 AVENUE	10
GARAGE DECATUR AVENUE	9
GARDEN PL	1
GARDEN PLACE	96
GARDEN STREET	1008
GARDENIA LANE	2
GARDINIA LANE	1
GARDNER AVENUE	2
GARFIELD AVENUE	30
GARFIELD PL	1
GARFIELD PLACE	280
GARFIELD STREET	96
GARIBALDI AVENUE	10
GARNET STREET	5
GARRET STREET	1
GARRETSON AVENUE	22
GARRETT PLACE	1
GARRETT STREET	3
GARRISON AVENUE	389
GARY COURT	10
GARY PLACE	5
GASKELL ROAD	1
GATES AVE	10
GATES AVENUE	3989
GATES PLACE	204
GATEWAY BOULEVARD	23
GATEWAY CENTER BLVD	39
GATEWAY CENTER BOULEVARD	2
GATEWAY DRIVE	10
GATLING PLACE	5
GAULDY AVENUE	4
GAY STREET	147
GAYNOR STREET	5
GCP	2
GD CONCOURSE	3
GELDNER AVENUE	5
GELSTON AVE	3
GELSTON AVENUE	16
GEM STREET	1
GENESEE AVENUE	44
GENEVA LOOP	2
GEO COURT	1
GEORGE STREET	1620
GEORGETOWN LANE	3
GEORGIA AVENUE	519
GERALD COURT	27
GERANIUM AVENUE	1
GERARD AVE	8
GERARD AVENUE	2316
GERBER PLACE	15
GERLAIN STREET	1
GERRITSEN AVE	2
GERRITSEN AVENUE	83
GERRY STREET	18
GERVIL STREET	84
GETTYSBURG STREET	5
GETZ AVE	1
GETZ AVENUE	6
GEYSER DRIVE	2
GIACOMO LANE	8
GIANNA COURT	1
GIEGERICH AVENUE	12
GIEGERICH PLACE	66
GIFFORD AVENUE	53
GIFFORDS LANE	50
GIL COURT	1
GILBERT PLACE	131
GILDERSLEEVE AVENUE	56
GILES AVENUE	3
GILES PLACE	209
GILLESPIE AVENUE	51
GILLMORE STREET	8
GILMORE STREET	13
GIORDAN COURT	49
GIPSON STREET	35
GIRARD STREET	24
GIVAN AVE	1
GIVAN AVE.	1
GIVAN AVENUE	127
GLADWIN AVENUE	2
GLADWIN STREET	2
GLASCOE AVENUE	1
GLASSBORO AVE	1
GLASSBORO AVENUE	40
GLEANE ST	2
GLEANE STREET	327
GLEASON AVE	5
GLEASON AVENUE	837
GLEBE AVE	2
GLEBE AVENUE	142
GLEN AVENUE	5
GLEN ST	1
GLEN STREET	133
GLENDALE AVENUE	2
GLENDALE COURT	3
GLENMORE AVENUE	780
GLENN ROAD	6
GLENNON PLACE	55
GLENWOOD AVENUE	21
GLENWOOD HOUSES	1
GLENWOOD ROAD	282
GLENWOOD STREET	4
GLORIA COURT	28
GLOVER STREET	144
GOBLE PLACE	49
GODWIN TERRACE	78
GOETHALS AVENUE	5
GOETHALS ROAD NORTH	19
GOFF AVENUE	5
GOLD	1
GOLD AVENUE	3
GOLD ROAD	7
GOLD ST	1
GOLD STREET	267
GOLDINGTON COURT	2
GOLDSMITH STREET	2
GOLF VIEW COURT	1
GOLFVIEW COURT	2
GOLLER PLACE	65
GOODALL STREET	15
GOODWIN AVENUE	7
GOODWIN PLACE	322
GORDON STREET	410
GORGE ROAD	2
GORSLINE STREET	31
GOTHAM AVENUE	3
GOTHAM ROAD	4
GOTHIC DRIVE	2
GOULDEN AVENUE	166
GOUVERNEUR AVENUE	63
GOUVERNEUR PLACE	78
GOUVERNEUR SLIP EAST	1
GOUVERNEUR STREET	9
GOVERNOR ROAD	6
GOWANU EXPRESSWAY	1
GOWANUS EXPRESSWAY	2
GOWER ST	2
GOWER STREET	10
GRACE AVE	4
GRACE AVENUE	155
GRACE COURT	113
GRACE COURT ALLEY	24
GRACIE SQUARE	31
GRAFE STREET	2
GRAFF AVENUE	79
GRAFTON STREET	233
GRAHAM AVE	10
GRAHAM AVENUE	571
GRAHAM BOULEVARD	22
GRAHAM COURT	10
GRAHAM PLACE	7
GRAMERCY PARK	116
GRAMERCY PARK EAST	20
GRAMERCY PARK NORTH	41
GRAMERCY PARK SOUTH	65
GRAMERCY PARK WEST	31
GRANADA PLACE	7
GRAND ARMY PLAZA	7
GRAND AVE	9
GRAND AVENUE	6622
GRAND CENT PARKWAY	6
GRAND CENTRAL PARKWAY	70
GRAND CENTRAL PARKWAY SR EAST	1
GRAND CENTRAL PKWY	9
GRAND CONCOURS	87
GRAND CONCOURSE	12304
GRAND ST	12
GRAND STREET	3905
GRAND VIEW AVENUE	9
GRANDCONCOURSE	172
GRANDVIEW AVENUE	276
GRANDVIEW PLACE	35
GRANGER STREET	102
GRANITE AVENUE	45
GRANITE STREET	139
GRANT AVE	4
GRANT AVENUE	3700
GRANT HIGHWAY	1
GRANT PLACE	1
GRANT SQUARE	161
GRANT STREET	32
GRANTWOOD AVENUE	16
GRASMERE AVENUE	7
GRASMERE DRIVE	5
GRASSMERE TERRACE	21
GRATTAN ST	2
GRATTAN STREET	120
GRAVES AVENUE	5
GRAVES STREET	23
GRAVESEND NECK ROAD	52
GRAVETT ROAD	6
GRAY STREET	19
GREAT JONES STREET	267
GREAT KILLS ROAD	11
GREAVES AVENUE	43
GREAVES LANE	2
GREELEY AVE	1
GREELEY AVENUE	32
GREEN ST	4
GREEN STREET	206
GREEN VALLEY RD	1
GREEN VALLEY ROAD	9
GREENCROFT AVENUE	5
GREENE	1
GREENE AVE	25
GREENE AVENUE	9599
GREENE STREET	593
GREENFIELD AVENUE	14
GREENFIELD COURT	5
GREENLEAF AVENUE	77
GREENPOINT AVE	3
GREENPOINT AVENUE	540
GREENVALLEY ROAD	3
GREENWAY AVENUE	29
GREENWAY SOUTH	1
GREENWAY TERRACE	2
GREENWICH AVENUE	493
GREENWICH MEWS	20
GREENWICH ST	5
GREENWICH STREET	1665
GREENWOOD AVENUE	37
GREENWOOD COURT	6
GREGG PLACE	1
GRENADA PLACE	8
GRENFELL STREET	3
GRENWICH	1
GREYSTONE AVENUE	15
GRIDLEY AVENUE	53
GRIMSBY STREET	63
GRINNELL PLACE	41
GRISSOM AVENUE	2
GRISWOLD AVENUE	40
GRND CNTRL PARKWAY SR SOUTH	2
GRND CNTRL PARKWAY SR WEST	2
GRND CNTRL PKWY SR E	2
GRND CNTRL PKWY SR S	6
GROSVENOR AVENUE	1
GROSVENOR LANE	1
GROTE STREET	348
GROTON STREET	30
GROVE	13
GROVE AVENUE	52
GROVE COURT	44
GROVE PLACE	6
GROVE ST	7
GROVE STREET	3264
GRYMES HILL ROAD	1
GUERLAIN STREET	61
GUERNSEY STREET	46
GUIDER AVENUE	40
GUILFORD STREET	19
GUION PLACE	29
GUN HILL ROAD	21
GUNHILL ROAD	32
GUNTHER AVENUE	220
GUNTHER PLACE	74
GUY BREWER BOULEVARD	73
GUY R BREWER BLVD	68
GUY R BREWER BOULEVA	1
GUY R BREWER BOULEVARD	245
GUYON AVENUE	32
GWENN LOOP	5
HAGAMAN PLACE	2
HAIGHT AVE	1
HAIGHT AVENUE	19
HALE AVENUE	191
HALE STREET	1
HALES AVENUE	5
HALL OF FAME TERRACE	47
HALL PLACE	254
HALL STREET	71
HALLECK STREET	25
HALLISTER STREET	4
HALPERIN AVE	1
HALPERIN AVENUE	16
HALPIN AVENUE	8
HALSEY AVE	1
HALSEY ST	6
HALSEY STREET	3368
HAMDEN AVENUE	53
HAMILTON AVENUE	74
HAMILTON PL	2
HAMILTON PLACE	498
HAMILTON STREET	49
HAMILTON TERRACE	589
HAMLIN PLACE	4
HAMMELS BOULEVARD	1
HAMMERSLEY AVENUE	17
HAMMOCK LANE	7
HAMPDEN PLACE	285
HAMPTON AVENUE	1
HAMPTON GREEN	21
HAMPTON PLACE	27
HAMPTON STREET	277
HANCOCK PLACE	19
HANCOCK ST	7
HANCOCK STREET	4342
HANFORD STREET	1
HANNAH STREET	13
HANNIBAL STREET	3
HANOVER AVENUE	32
HANOVER PLACE	13
HANOVER SQUARE	41
HANSON COURT	1
HANSON PLACE	76
HARBOR LOOP	2
HARBOR ROAD	182
HARBOR VIEW COURT	2
HARBOR VIEW PLACE SOUTH	6
HARBORVIEW PLACE SOUTH	2
HARBOUR COURT	3
HARDEN STREET	2
HARDIN AVENUE	1
HARDING AVENUE	165
HARDING PARK	232
HARDY STREET	17
HARING STREET	40
HARLEM RIVER DRIVE	73
HARLEM RIVER TERRACE	23
HARMAN ST	3
HARMAN STREET	3408
HARMON STREET	15
HAROLD AVENUE	2
HAROLD STREET	10
HARPER AVE	5
HARPER AVENUE	75
HARPER COURT	8
HARRINGTON AVE	2
HARRINGTON AVENUE	27
HARRIS AVENUE	2
HARRIS LANE	2
HARRISON ALLEY	12
HARRISON AVENUE	2030
HARRISON PLACE	51
HARRISON STREET	192
HARROD AVENUE	540
HARROW STREET	6
HARRY DOUGLAS WAY	2
HART AVENUE	9
HART BOULEVARD	4
HART LOOP	1
HART PLACE	44
HART ST	10
HART STREET	6864
HARTFORD STREET	4
HARTLAND AVENUE	2
HARTMAN LANE	3
HARVARD AVENUE	19
HARVEST AVE	1
HARVEST AVENUE	5
HARVEY AVENUE	30
HARWAY AVENUE	17
HASKIN STREET	16
HASPEL STREET	1
HASSOCK STREET	16
HASTINGS STREET	15
HATFIELD PLACE	19
HATTIE JONES COURT	1
HATTIE JONES PLACE	1
HATTING PL	1
HATTING PLACE	56
HAUGHWOUT	2
HAUGHWOUT AVENUE	8
HAUSMAN STREET	21
HAVEMEYER  ST	5
HAVEMEYER AVENUE	271
HAVEMEYER STREET	290
HAVEN AVENUE	506
HAVEN ESPLANADE	5
HAVEN PLAZA	9
HAVENS PLACE	4
HAVENWOOD ROAD	2
HAVILAND AVE	2
HAVILAND AVENUE	443
HAWKINS	2
HAWKINS STREET	96
HAWKSTONE STREET	21
HAWLEY AVENUE	1
HAWTHORNE AVENUE	8
HAWTHORNE ST	3
HAWTHORNE STREET	307
HAWTREE AVENUE	1
HAWTREE CREEK ROAD	4
HAWTREE STREET	5
HAZEL COURT	2
HAZEN STREET	22
HEALEY AVENUE	2
HEALY AVENUE	3
HEATH AV	2
HEATH AVE	5
HEATH AVENUE	1786
HEATHCOTE AVENUE	1
HEBERT STREET	5
HEBERTON AVENUE	76
HECKER STREET	3
HEENAN AVENUE	1
HEFFERNAN STREET	2
HEGEMAN AVE	1
HEGEMAN AVENUE	508
HEINZ AVE	1
HEINZ AVENUE	9
HEISER STREET	2
HELL GATE CIRCLE	1
HEMLOCK ST	1
HEMLOCK STREET	480
HEMPSTEAD AVE	1
HEMPSTEAD AVENUE	104
HEMSTEAD AVENUE	4
HENDERSON AVENUE	98
HENDERSON PLACE	54
HENDERSON WALK	1
HENDRICKS AVENUE	272
HENDRICKSN STREET	5
HENDRICKSON STREET	15
HENDRIX ST	1
HENDRIX STREET	1028
HENLEY ROAD	30
HENNESSEY PLACE	2
HENNESSY PLACE	266
HENRY HUDSON PARKWAY	42
HENRY HUDSON PARKWAY EAST	15
HENRY HUDSON PARKWAY WEST	16
HENRY HUDSON PKWY	1
HENRY HUDSON PKWY E	2
HENRY PLACE	7
HENRY ST	1
HENRY STREET	2893
HENSHAW STREET	1
HENWOOD PLACE	136
HERALD SQUARE	4
HERBERT STREET	65
HEREFORD STREET	3
HERING AVENUE	30
HERKIMER COURT	77
HERKIMER PLACE	143
HERKIMER ST	1
HERKIMER STREET	2037
HERKIMER STREET ADJ.	1
HERMANY AVENUE	161
HERRICK AVENUE	14
HERSCHELL ST	2
HERSCHELL STREET	64
HERZEL STREET	15
HERZL STREET	60
HESSLER AVENUE	10
HESTER ST	1
HESTER STREET	962
HETT AVE	2
HETT AVENUE	177
HEWES STREET	156
HEWITT AVENUE	8
HEWITT PLACE	155
HEYSON ROAD	4
HEYWARD ST	1
HEYWARD STREET	35
HIAWATHA AVENUE	10
HICKORY AVENUE	27
HICKS ST	4
HICKS STREET	599
HIGGINS STREET	4
HIGH ISLAND	1
HIGH STREET	3
HIGHLAND AVE	1
HIGHLAND AVENUE	23
HIGHLAND BLVD	3
HIGHLAND BOULEVARD	103
HIGHLAND COURT	2
HIGHLAND PLACE	194
HIGHLAWN AVENUE	13
HIGHVIEW AVENUE	9
HILBURN AVENUE	10
HILL AVENUE	44
HILL STREET	139
HILLCREST AVENUE	9
HILLCREST STREET	2
HILLCREST TERRACE	1
HILLEL PLACE	4
HILLMAN AVENUE	53
HILLMEYER AVENUE	6
HILLSIDE AVE	9
HILLSIDE AVENUE	1830
HILLSIDE AVENUE BELLEROSE	11
HILLSIDE TER	1
HILLSIDE TERRACE	7
HILLYER STREET	16
HIMROD ST	22
HIMROD STREET	2990
HINCKLEY PLACE	16
HINSDALE STREET	931
HINTON STREET	4
HITCHCOCK AVENUE	20
HITCHINGS AVENUE	10
HOBART AVENUE	202
HOBART STREET	32
HODA PLACE	10
HODGES PLACE	10
HOE AVE	7
HOE AVENUE	1876
HOFFMAN DRIVE	14
HOFFMAN STREET	1749
HOLCOMB AVENUE	8
HOLDEN BOULEVARD	15
HOLLAND	3
HOLLAND AVE	7
HOLLAND AVENUE	1459
HOLLERS AVENUE	8
HOLLIS AVENUE	112
HOLLIS COURT	4
HOLLIS COURT BLVD	12
HOLLIS COURT BOULEVARD	23
HOLLIS HILLS TER	1
HOLLIS HILLS TERRACE	1
HOLLY AVENUE	9
HOLLY PLACE	1
HOLLY STREET	5
HOLLYWOOD AVE	3
HOLLYWOOD AVENUE	368
HOLMES LANE	1
HOLT COURT	3
HOLT PLACE	33
HOLTEN AVENUE	1
HOME PLACE	26
HOME STREET	1046
HOMECREST AVENUE	145
HOMELAWN STREET	6
HOMER AVENUE	153
HOMER STREET	23
HOMESTEAD AVENUE	17
HONE AVE	1
HONE AVENUE	167
HONEYWELL AVENUE	860
HOOK CREEK BOULEVARD	75
HOOKCREEK BOULEVARD	12
HOOKER PLACE	27
HOOPER AVENUE	1
HOOPER ST	8
HOOPER STREET	409
HOOPER STREET   ADJ	8
HOOPER STREET  ADJ.	8
HOOVER AVE	1
HOOVER AVENUE	62
HOPE AVENUE	35
HOPE STREET	103
HOPKINS AVENUE	19
HOPKINS ST	2
HOPKINS STREET	67
HOPKINSON AVENUE	50
HOR HARDING EP SR N	35
HOR HARDING EP SR S	1
HOR HARDING EXPRESSWAY N SVC RD	21
HOR HARDING EXPRESSWAY S SVC RD	1
HOR HARDING EXPRESSWAY SR NORTH	16
HOR HARDING EXPRESSWAY SR SOUTH	35
HORACE HARDING BOULEVARD	2
HORACE HARDING EXPRE	4
HORACE HARDING EXPRESSWAY	213
HORACE HARDING EXPRESSWAY N SR	4
HORACE HARDING EXPRESSWAY SR N	1
HORATIO PARKWAY	2
HORATIO STREET	477
HORNADAY PLACE	274
HORNELL LOOP	1
HORTON STREET	34
HOSMER AVENUE	43
HOUSEMAN AVENUE	10
HOUSMAN AVENUE	10
HOUSTON LANE	5
HOWARD AVE	8
HOWARD AVENUE	538
HOWARD COURT	4
HOWARD STREET	165
HOWE AVENUE	40
HOWE STREET	2
HOWTON AVENUE	1
HOYT AVENUE	80
HOYT AVENUE SOUTH	13
HOYT ST	1
HOYT STREET	208
HRLM DRIVE SR WEST	4
HUBBARD PL	1
HUBBARD PLACE	23
HUBBARD STREET	267
HUBBELL STREET	6
HUBERT STREET	48
HUDSON AVENUE	126
HUDSON MAN TERRACE	2
HUDSON MANOR TERRACE	17
HUDSON PL	1
HUDSON PLACE	17
HUDSON STREET	1907
HUDSON WALK	2
HUGENOT AVENUE	1
HUGH GRANT CIRCLE	5
HUGH J GRANT CIRCLE	47
HUGHES AVE	9
HUGHES AVENUE	4942
HUGUENOT AVENUE	38
HULL AVE	13
HULL AVENUE	2700
HULL STREET	556
HUMBERT STREET	4
HUMBOLDT ST	5
HUMBOLDT STREET	713
HUMBOLT STREET	47
HUMPHREY STREET	9
HUMPHREYS STREET	9
HUNGRY HARBOR ROAD	9
HUNT AVE	5
HUNT AVENUE	109
HUNT POINT AVENUE	5
HUNT'S POINT AVENUE	96
HUNTER AVENUE	200
HUNTER ST	4
HUNTER STREET	230
HUNTERFLY PLACE	16
HUNTERS POINT AVENUE	8
HUNTINGTON AVE	3
HUNTINGTON AVENUE	283
HUNTINGTON ST	1
HUNTINGTON STREET	70
HUNTS LANE	32
HUNTS POINT AVENUE	754
HURLBERT STREET	84
HURLEY COURT	2
HURON PLACE	4
HURON STREET	257
HUSSON AVENUE	14
HUSSON STREET	15
HUTCH RIVER PARKWAY	3
HUTCH RIVER PARKWAY EAST	12
HUTCHENSON RIVER PW	2
HUTCHINSON AVENUE	3
HUTCHINSON RIV PARKWAY	5
HUTCHINSON RIV PKWY	3
HUTCHINSON RIVER PARKWAY	44
HUTCHINSON RIVER PARKWAY EAST	3
HUTCHINSON RVR PKWY	8
HUTCHINSON RVR PY E	44
HUTCHINSON RVR PY SR	3
HUXLEY AVENUE	2
HUXLEY STREET	21
HYGEIA PLACE	32
HYLAN BLVD	4
HYLAN BOULEVARD	725
HYLAN BOULEVARD NORTH	1
HYLAN BOULEVARD S	4
HYLAN PLACE	1
HYMAN COURT	15
HYMEN COURT	6
IBSEN AVENUE	11
IDE COURT	7
ILION AVENUE	4
ILYSSA WAY	25
IMLAY STREET	2
IMPERIAL COURT	2
INDALE AVENUE	4
INDEPENDENCE AVE	7
INDEPENDENCE AVENUE	38
INDIA STREET	290
INDIAN ROAD	15
INDUSTRIAL LOOP	1
INDUSTRY ROAD	2
INGRAHAM STREET	46
INGRAM AVENUE	13
INGRAM STREET	9
INNIS STREET	42
INTERBORO PARKWAY	2
INTERBOROUGH PARKWAY	8
INTERVALE AVE	1
INTERVALE AVENUE	1443
INWOOD AVENUE	770
INWOOD STREET	157
IONA AVENUE	3
IONA STREET	14
IONIA AVENUE	27
IRA COURT	5
IRELAND STREET	13
IRONWOOD STREET	4
IROQUOIS STREET	6
IRVINE STREET	215
IRVING AVE	4
IRVING AVENUE	3790
IRVING PLACE	318
IRVING STREET	2
IRVINGTON PLACE	2
IRVINGTON STREET	1
IRWIN AVE	1
IRWIN AVENUE	182
IRWIN PLACE	6
IRWIN STREET	1
ISABELLA AVENUE	3
ISERNIA AVENUE	14
ISHAM ST	1
ISHAM STREET	453
ISLINGTON STREET	4
ISMAY STREET	2
ITHACA STREET	368
IVAN COURT	19
JACKIE ROBINSON PARKWAY	6
JACKSON AVE	8
JACKSON AVENUE	1675
JACKSON MILL ROAD	5
JACKSON PLACE	11
JACKSON SQUARE	17
JACKSON ST	2
JACKSON STREET	403
JACOB STREET	1
JACOBUS PLACE	35
JACOBUS STREET	13
JACQUES AVENUE	14
JAKE COURT	3
JAMAICA AVE	6
JAMAICA AVENUE	3013
JAMES COURT	14
JAMES PLACE	2
JAMES POLITE AVENUE	4
JAMES STREET	141
JAMIACA AVENUE	2
JAMIE LANE	1
JANE ST	3
JANE STREET	771
JANET PLACE	3
JANINS LANE	4
JANSEN STREET	4
JAQUES AVENUE	2
JARDINE PL	1
JARDINE PLACE	29
JARVIS AVENUE	19
JASMINE AVENUE	1
JASPER STREET	1
JAVA STREET	91
JAY AVENUE	9
JAY ST	3
JAY STREET	436
JAYDEE COURT	3
JEANETTE AVENUE	21
JEANNETTE AVENUE	5
JEFFERSON AVE	28
JEFFERSON AVENUE	4172
JEFFERSON BLVD	1
JEFFERSON BOULEVARD	30
JEFFERSON PLACE	369
JEFFERSON STREET	2882
JENNIFER COURT	4
JENNIFER LANE	9
JENNIFER PLACE	2
JENNINGS ST	2
JENNINGS STREET	486
JERICHO TURNPIKE	6
JEROME AVE	13
JEROME AVENUE	8131
JEROME ROAD	9
JEROME ST	2
JEROME STREET	675
JERS3Y STREET	2
JERSEY STREET	616
JESSICA COURT	1
JESSICA LANE	1
JESUP AVENUE	1028
JESUP PLACE	55
JEWEL AVENUE	41
JEWEL MC COY LANE	1
JEWEL STREET	297
JEWELL MCKOY LANE	8
JEWELL STREET	6
JEWETT AVE	1
JEWETT AVENUE	511
JILLIAN COURT	4
JOE DIMAGGIO HIGHWAY	274
JOEL PLACE	6
JOHN ST	1
JOHN STREET	339
JOHNSON AVE	3
JOHNSON AVENUE	206
JOHNSON STREET	46
JOHNSTON TERRACE	2
JOLINE AVENUE	26
JONES STREET	333
JORALEMON ST	1
JORALEMON STREET	694
JORDAN AVENUE	9
JORDAN STREET	13
JOSEPH AVENUE	1
JOSEPH LANE	2
JOSEPHINE STREET	18
JOURNEAY STREET	32
JOVAL COURT	8
JOYCE STREET	1
JUDGE ST	1
JUDGE STREET	249
JULES DRIVE	151
JUMEL PLACE	12
JUMEL STREET	1
JUMEL TER	1
JUMEL TERRACE	83
JUNCTION BLVD	2
JUNCTION BOULEVARD	801
JUNI COURT	1
JUNIPER AVENUE	6
JUNIPER BL SOUTH	2
JUNIPER BLVD SOUTH	2
JUNIPER BOULEVARD	2
JUNIPER BOULEVARD SOUTH	3
JUNIPER VALLEY ROAD	13
JUNIUS STREET	76
JUNO STREET	4
JUSTICE AVENUE	30
JUSTIN AVE	1
JUSTIN AVENUE	7
KANE PLACE	20
KANE STREET	58
KANSAS AVENUE	3
KAPPOCK ST	1
KAPPOCK STREET	73
KAREN COURT	7
KARWEG PLACE	1
KATAN AVENUE	28
KATHLEEN COURT	18
KATHLEEN PLACE	1
KATHY PLACE	4
KATONAH AVENUE	31
KAUFMAN PLACE	1
KEAP STREET	248
KEARNEY AVE	1
KEARNEY AVENUE	158
KEARNEY STREET	2
KEATING PLACE	4
KEATING ST	2
KEATING STREET	6
KEEGANS LANE	8
KEEN COURT	10
KEESEVILLE AVENUE	7
KEIBER COURT	7
KELL AVENUE	7
KELLY BOULEVARD	1
KELLY ST	2
KELLY STREET	1196
KELVIN AVENUE	24
KEMBALL AVENUE	17
KENDRICK PLACE	6
KENILWORTH AVENUE	26
KENILWORTH PLACE	71
KENMARE ST	3
KENMARE STREET	78
KENMORE ROAD	10
KENMORE ST	1
KENMORE STREET	2
KENMORE TERRACE	11
KENNELLWORTH PLACE	5
KENNELWORTH PLACE	22
KENNINGTON STREET	11
KENO AVENUE	2
KENSICO STREET	6
KENSINGTON AVENUE	18
KENSINGTON STREET	2
KENT AVE	8
KENT AVENUE	482
KENT STREET	281
KERMIT PLACE	3
KESSEL ST	2
KESSEL STREET	6
KETCH COURT	4
KETCHAM STREET	152
KEUNE COURT	1
KEW FOREST LANE	4
KEW GARDEN ROAD	3
KEW GARDENS ROAD	29
KIELY PLACE	60
KILDARE ROAD	2
KILROE STREET	7
KIMBALL STREET	22
KIMBERLY LANE	3
KIMBERLY PLACE	5
KING AVENUE	114
KING ROAD	6
KING STREET	602
KINGDOM AVENUE	11
KINGHORN STREET	4
KINGLAND AVENUE	2
KINGS    2 WALK	1
KINGS BRIDGE TERRACE	21
KINGS COLL PLACE	4
KINGS COLLEGE PLACE	114
KINGS HIGHWAY	501
KINGS PLACE	8
KINGSBORO 6 WALK	2
KINGSBORO 7 WALK	1
KINGSBOROUGH    4 WALK	1
KINGSBOROUGH 6 WALK	1
KINGSBRIDGE AVE	3
KINGSBRIDGE AVENUE	343
KINGSBRIDGE TER	2
KINGSBRIDGE TERRACE	1606
KINGSBURY AVENUE	10
KINGSHIGWY	21
KINGSLAND AVE	3
KINGSLAND AVENUE	665
KINGSLEY AVENUE	22
KINGSLEY PLACE	2
KINGSTON AVE	1
KINGSTON AVENUE	1039
KINGSTON PL	1
KINGSTON PLACE	19
KINGSWAY PLACE	17
KINNEAR PLACE	6
KINSELLA STREET	15
KIRBY COURT	4
KIRBY STREET	18
KIRKLAND COURT	4
KIRSHON AVENUE	3
KISSAM AVENUE	20
KISSEL AVENUE	17
KISSENA BLVD	3
KISSENA BOULEVARD	122
KISWICK STREET	15
KLEUPFEL COURT	4
KLONDIKE AVENUE	17
KNAPP STREET	17
KNEELAND AVENUE	21
KNEELAND PLACE	34
KNEELAND STREET	2
KNESEL STREET	6
KNICKERBOCK AVENUE	19
KNICKERBOCKER AVE	3
KNICKERBOCKER AVENUE	2938
KNOLLS CRES	6
KNOLLS CRESCENT	80
KNOX PLACE	355
KOSCIUSKO ST	2
KOSCIUSKO STREET	288
KOSCIUSZKO ST	3
KOSCIUSZKO STREET	3181
KOSSUTH AVENUE	146
KOSSUTH PLACE	227
KRAMER AVENUE	2
KRAMER STREET	4
KRIER PLACE	3
KRISSA COURT	2
KUNATH AVENUE	1
LA FONTAINE AVENUE	449
LA FORGE AVENUE	31
LA FORGE PLACE	20
LA GUARDIA PLACE	200
LA SALLE AVENUE	124
LA SALLE STREET	64
LABAU AVENUE	13
LABURNAM AVENUE	3
LABURNUM AVENUE	11
LACOMBE AVENUE	200
LACON COURT	7
LACONIA AVENUE	279
LADD AVENUE	20
LAFAYETTE	1
LAFAYETTE AVE	24
LAFAYETTE AVENUE	8782
LAFAYETTE PLACE	6
LAFAYETTE ST	1
LAFAYETTE STREET	987
LAFONTAINE AVENUE	37
LAFORGE AVENUE	6
LAFORGE PLACE	3
LAGUARDIA AVENUE	3
LAGUARDIA PL	2
LAGUARDIA PLACE	22
LAGUNA LANE	2
LAIGHT STREET	112
LAKE AVENUE	67
LAKE PLACE	2
LAKE STREET	30
